發生日期時間,公司名稱,工程名稱,事故詳細地址,災害類型,罹災人數,場所肇災處(事故經過)
105/03/17 13:00,建國工程股份有限公司,捷運系統土建工程 (第3期),桃園市中壢區中正路154號,被撞,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/02/24 11:00,根基營造股份有限公司,捷運系統土建工程 (第1期),高雄市苓雅區四維四路28號,墜落、滾落,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/04/02 14:00,根基營造股份有限公司,廠房新建工程 (第3期),桃園市中壢區中正路448號,感電,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
105/03/18 10:00,瑞助營造股份有限公司,中心商業大樓新建案 (第2期),高雄市苓雅區四維四路410號,墜落、滾落,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
105/10/26 08:00,根基營造股份有限公司,高速公路拓寬工程 (第1期),高雄市苓雅區四維四路326號,墜落、滾落,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
105/08/14 14:00,互助營造股份有限公司,捷運系統土建工程 (第2期),新北市板橋區文化路322號,物體飛落,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
105/12/09 13:00,建國工程股份有限公司,高速公路拓寬工程 (第2期),高雄市苓雅區四維四路288號,感電,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
105/02/05 08:00,根基營造股份有限公司,中心商業大樓新建案 (第2期),桃園市中壢區中正路357號,感電,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/07/16 10:00,瑞助營造股份有限公司,中心商業大樓新建案 (第3期),新北市板橋區文化路447號,感電,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/08/04 11:00,中鼎工程股份有限公司,高速公路拓寬工程 (第3期),桃園市中壢區中正路38號,物體飛落,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/10/07 08:00,根基營造股份有限公司,廠房新建工程 (第2期),臺北市內湖區瑞光路11號,倒塌、崩塌,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/08/27 15:00,互助營造股份有限公司,集合住宅新建工程 (第3期),新北市板橋區文化路278號,物體飛落,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/10/06 14:00,大陸工程股份有限公司,高速公路拓寬工程 (第1期),臺中市西屯區台灣大道357號,感電,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/05/09 14:00,中鼎工程股份有限公司,集合住宅新建工程 (第2期),新北市板橋區文化路213號,倒塌、崩塌,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
105/04/02 13:00,達欣工程股份有限公司,高速公路拓寬工程 (第1期),新北市板橋區文化路40號,物體飛落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/04/14 09:00,互助營造股份有限公司,中心商業大樓新建案 (第1期),臺北市內湖區瑞光路367號,倒塌、崩塌,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
105/10/10 17:00,根基營造股份有限公司,捷運系統土建工程 (第1期),臺北市內湖區瑞光路96號,物體飛落,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/03/23 16:00,皇昌營造股份有限公司,捷運系統土建工程 (第1期),臺北市內湖區瑞光路463號,感電,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/06/03 13:00,中鼎工程股份有限公司,捷運系統土建工程 (第3期),新北市板橋區文化路110號,被撞,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/07/25 15:00,遠雄營造股份有限公司,集合住宅新建工程 (第3期),新北市板橋區文化路492號,倒塌、崩塌,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/01/22 17:00,達欣工程股份有限公司,高速公路拓寬工程 (第1期),桃園市中壢區中正路43號,感電,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/04/07 11:00,建國工程股份有限公司,高速公路拓寬工程 (第3期),高雄市苓雅區四維四路84號,感電,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
105/05/26 15:00,建國工程股份有限公司,高速公路拓寬工程 (第3期),高雄市苓雅區四維四路359號,物體飛落,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/07/04 14:00,大陸工程股份有限公司,廠房新建工程 (第1期),臺中市西屯區台灣大道484號,墜落、滾落,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
105/09/26 08:00,達欣工程股份有限公司,捷運系統土建工程 (第3期),新北市板橋區文化路126號,物體飛落,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
105/05/02 11:00,工信工程股份有限公司,集合住宅新建工程 (第2期),新北市板橋區文化路270號,感電,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/12/13 13:00,大陸工程股份有限公司,廠房新建工程 (第2期),臺中市西屯區台灣大道480號,墜落、滾落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
105/07/08 15:00,建國工程股份有限公司,捷運系統土建工程 (第3期),桃園市中壢區中正路385號,物體飛落,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
